,LINK-USD,LINK-USD,LINK-USD,LINK-USD,LINK-USD,LINK-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,LTC-USD,LTC-USD,LTC-USD,LTC-USD,LTC-USD,LTC-USD
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-17,,,,,,,,,,,,,465.864013671875,468.17401123046875,452.4219970703125,457.3340148925781,457.3340148925781,21056800,,,,,,,5.08588981628418,5.170770168304443,4.965950012207031,5.058549880981445,5.058549880981445,3071840
2014-09-18,,,,,,,,,,,,,456.8599853515625,456.8599853515625,413.10400390625,424.44000244140625,424.44000244140625,34483200,,,,,,,5.065430164337158,5.065430164337158,4.579959869384766,4.685229778289795,4.685229778289795,4569260
2014-09-19,,,,,,,,,,,,,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,394.7959899902344,37919700,,,,,,,4.687290191650391,4.755819797515869,4.254350185394287,4.327770233154297,4.327770233154297,3917450
2014-09-20,,,,,,,,,,,,,394.6730041503906,423.2959899902344,389.88299560546875,408.90399169921875,408.90399169921875,36863600,,,,,,,4.32919979095459,4.616079807281494,4.202189922332764,4.286439895629883,4.286439895629883,5490660
2014-09-21,,,,,,,,,,,,,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,398.8210144042969,26580100,,,,,,,4.263070106506348,4.3001298904418945,4.154990196228027,4.245920181274414,4.245920181274414,2931220
2014-09-22,,,,,,,,,,,,,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,402.1520080566406,24127600,,,,,,,4.245930194854736,4.416880130767822,4.210130214691162,4.242350101470947,4.242350101470947,1855960
2014-09-23,,,,,,,,,,,,,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,435.7909851074219,45099500,,,,,,,4.239990234375,4.881350040435791,4.188869953155518,4.746570110321045,4.746570110321045,4661670
2014-09-24,,,,,,,,,,,,,435.7510070800781,436.11199951171875,421.1319885253906,423.2049865722656,423.2049865722656,30627700,,,,,,,4.744200229644775,4.745120048522949,4.627689838409424,4.666790008544922,4.666790008544922,2662290
2014-09-25,,,,,,,,,,,,,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,411.5740051269531,26814400,,,,,,,4.66588020324707,4.671319961547852,4.448699951171875,4.514649868011475,4.514649868011475,2046960
2014-09-26,,,,,,,,,,,,,411.4289855957031,414.93798828125,400.0090026855469,404.42498779296875,404.42498779296875,21460800,,,,,,,4.50993013381958,4.551819801330566,4.388800144195557,4.433589935302734,4.433589935302734,1548350
2014-09-27,,,,,,,,,,,,,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,399.5199890136719,15029300,,,,,,,4.434390068054199,4.4892401695251465,4.3979902267456055,4.421800136566162,4.421800136566162,889525
2014-09-28,,,,,,,,,,,,,399.47100830078125,401.0169982910156,374.3320007324219,377.1809997558594,377.1809997558594,23613300,,,,,,,4.424620151519775,4.457610130310059,4.202779769897461,4.233230113983154,4.233230113983154,1741170
2014-09-29,,,,,,,,,,,,,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,375.4670104980469,32497700,,,,,,,4.2376298904418945,4.330249786376953,4.1981000900268555,4.246789932250977,4.246789932250977,1712650
2014-09-30,,,,,,,,,,,,,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,386.9440002441406,34707300,,,,,,,4.252190113067627,4.549009799957275,4.225930213928223,4.474730014801025,4.474730014801025,2456420
2014-10-01,,,,,,,,,,,,,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,383.614990234375,26229400,,,,,,,4.4709601402282715,4.503739833831787,4.384860038757324,4.42855978012085,4.42855978012085,1172180
2014-10-02,,,,,,,,,,,,,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,375.0719909667969,21777700,,,,,,,4.430150032043457,4.463479995727539,4.286230087280273,4.322659969329834,4.322659969329834,1124950
