,QQQ,QQQ,QQQ,QQQ,QQQ,QQQ,SPY,SPY,SPY,SPY,SPY,SPY
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2011-06-30,56.5,57.09000015258789,56.470001220703125,57.04999923706055,51.62838363647461,50347200,131.13999938964844,132.17999267578125,130.7100067138672,131.97000122070312,108.80326080322266,223322700
2011-07-01,57.08000183105469,57.9900016784668,56.91999816894531,57.90999984741211,52.40665054321289,53203900,132.08999633789062,134.10000610351562,131.77999877929688,133.9199981689453,110.41094970703125,202385700
2011-07-05,57.970001220703125,58.2599983215332,57.83000183105469,58.20000076293945,52.66910171508789,43128800,133.77999877929688,134.0800018310547,133.38999938964844,133.80999755859375,110.32029724121094,165936000
2011-07-06,58.130001068115234,58.4900016784668,57.939998626708984,58.38999938964844,52.84103775024414,49282700,133.49000549316406,134.13999938964844,133.11000061035156,133.97000122070312,110.45217895507812,143331600
2011-07-07,58.83000183105469,59.36000061035156,58.7400016784668,59.189998626708984,53.56501770019531,54799800,135.16000366210938,135.6999969482422,134.8800048828125,135.36000061035156,111.59818267822266,170464200
2011-07-08,58.68000030517578,59.040000915527344,58.369998931884766,59.029998779296875,53.420204162597656,69519500,133.8300018310547,135.36000061035156,133.38999938964844,134.39999389648438,110.80667114257812,194100500
2011-07-11,58.40999984741211,58.709999084472656,57.7599983215332,57.959999084472656,52.45188522338867,52080800,132.75,133.17999267578125,131.66000366210938,131.97000122070312,108.80326080322266,195918600
2011-07-12,57.95000076293945,58.06999969482422,57.459999084472656,57.52000045776367,52.053707122802734,84000700,131.69000244140625,132.77999877929688,131.36000061035156,131.39999389648438,108.33334350585938,214675700
2011-07-13,57.939998626708984,58.34000015258789,57.54999923706055,57.7599983215332,52.270912170410156,82378100,132.08999633789062,133.22000122070312,131.52000427246094,131.83999633789062,108.69608306884766,204062600
2011-07-14,57.90999984741211,58.18000030517578,56.869998931884766,57.09000015258789,51.664581298828125,98774200,132.1699981689453,132.77999877929688,130.67999267578125,130.92999267578125,107.94585418701172,226111800
2011-07-15,57.72999954223633,57.849998474121094,57.310001373291016,57.849998474121094,52.352352142333984,68281500,131.66000366210938,131.8699951171875,130.77000427246094,131.69000244140625,108.57244110107422,220012800
2011-07-18,57.529998779296875,57.790000915527344,56.97999954223633,57.540000915527344,52.071807861328125,59512200,131.0800018310547,131.27999877929688,129.6300048828125,130.61000061035156,107.6820297241211,196872100
2011-07-19,58.09000015258789,58.900001525878906,58.09000015258789,58.849998474121094,53.25731658935547,73904600,131.33999633789062,132.88999938964844,131.30999755859375,132.72999572753906,109.42986297607422,166554900
2011-07-20,59.18000030517578,59.189998626708984,58.5,58.599998474121094,53.03108596801758,57085500,133.07000732421875,133.14999389648438,132.4199981689453,132.64999389648438,109.36392211914062,137145400
2011-07-21,58.65999984741211,59.31999969482422,58.34000015258789,58.9900016784668,53.38401794433594,70148800,133.39999389648438,134.82000732421875,132.6699981689453,134.49000549316406,110.88089752197266,245246300
2011-07-22,58.959999084472656,59.70000076293945,58.91999816894531,59.599998474121094,53.93605041503906,43620400,134.52000427246094,134.72000122070312,133.75999450683594,134.5800018310547,110.95510864257812,126019400
2011-07-25,59.130001068115234,59.810001373291016,59.02000045776367,59.47999954223633,53.82744216918945,48916100,133.3000030517578,134.49000549316406,133.16000366210938,133.8300018310547,110.3367691040039,136653800
2011-07-26,59.439998626708984,59.83000183105469,59.31999969482422,59.630001068115234,53.963199615478516,40918900,133.74000549316406,133.9600067138672,133.02999877929688,133.3300018310547,109.92452239990234,131278200
2011-07-27,59.2400016784668,59.290000915527344,57.939998626708984,58.09000015258789,52.569549560546875,83969500,132.58999633789062,132.6300048828125,130.42999267578125,130.60000610351562,107.67377471923828,249020100
2011-07-28,58.119998931884766,58.93000030517578,57.88999938964844,58.189998626708984,52.66004180908203,61031900,130.60000610351562,131.77000427246094,130.00999450683594,130.22000122070312,107.3604736328125,207939900
2011-07-29,57.720001220703125,58.61000061035156,57.439998626708984,58.0,52.488094329833984,82860500,128.91000366210938,130.5500030517578,127.97000122070312,129.3300018310547,106.62671661376953,307038400
2011-08-01,58.70000076293945,58.81999969482422,57.029998779296875,57.72999954223633,52.24374771118164,85421100,130.83999633789062,130.9600067138672,127.52999877929688,128.77999877929688,106.17326354980469,325790900
2011-08-02,57.459999084472656,57.720001220703125,56.209999084472656,56.27000045776367,50.9224967956543,90853300,127.80999755859375,128.5,125.48999786376953,125.48999786376953,103.46080017089844,346653800
2011-08-03,56.34000015258789,56.880001068115234,55.349998474121094,56.810001373291016,51.411190032958984,103612300,125.66000366210938,126.30999755859375,123.52999877929688,126.16999816894531,104.02143859863281,370830800
2011-08-04,56.0,56.09000015258789,54.16999816894531,54.16999816894531,49.0220832824707,132830000,124.41999816894531,124.62000274658203,120.05999755859375,120.26000213623047,99.1489028930664,520721800
2011-08-05,54.720001220703125,55.029998779296875,52.31999969482422,53.83000183105469,48.714385986328125,214111800,121.76000213623047,122.06999969482422,116.86000061035156,120.08000183105469,99.00051879882812,655619200
2011-08-08,52.18000030517578,53.119998931884766,50.59000015258789,50.59000015258789,45.78229522705078,204804500,116.91000366210938,120.12000274658203,112.0199966430664,112.26000213623047,92.55323791503906,702263900
2011-08-09,51.349998474121094,53.08000183105469,49.93000030517578,53.029998779296875,47.99040985107422,193707100,114.06999969482422,117.63999938964844,110.2699966430664,117.4800033569336,96.85693359375,717828700
2011-08-10,51.83000183105469,53.040000915527344,50.79999923706055,50.86000061035156,46.02663040161133,205917900,115.26000213623047,116.27999877929688,111.94999694824219,112.29000091552734,92.57801055908203,662607400
2011-08-11,51.59000015258789,53.689998626708984,51.34000015258789,53.099998474121094,48.05375671386719,143825300,113.26000213623047,118.91999816894531,112.31999969482422,117.33000183105469,96.73323822021484,487979700
2011-08-12,53.43000030517578,53.900001525878906,52.880001068115234,53.56999969482422,48.47909927368164,90483300,118.4000015258789,119.20999908447266,117.27999877929688,118.12000274658203,97.38459777832031,313731600
2011-08-15,53.790000915527344,54.36000061035156,53.529998779296875,54.36000061035156,49.19401168823242,73554300,119.19000244140625,120.73999786376953,119.0,120.62000274658203,99.44569396972656,258810600
2011-08-16,53.83000183105469,54.349998474121094,53.18000030517578,53.900001525878906,48.7777214050293,89219200,119.47000122070312,120.69000244140625,118.30999755859375,119.58999633789062,98.59652709960938,294095200
2011-08-17,53.970001220703125,54.41999816894531,53.02000045776367,53.58000183105469,48.488136291503906,84416600,120.25,121.19999694824219,118.72000122070312,119.66999816894531,98.66249084472656,238201100
2011-08-18,52.130001068115234,52.13999938964844,50.47999954223633,50.95000076293945,46.10807418823242,130019400,116.5,119.70999908447266,113.38999938964844,114.51000213623047,94.40831756591797,512956300
2011-08-19,50.41999816894531,51.66999816894531,49.9900016784668,50.029998779296875,45.27549362182617,96674600,112.95999908447266,115.87999725341797,112.5,112.63999938964844,92.86656188964844,428281300
2011-08-22,51.22999954223633,51.2400016784668,50.060001373291016,50.209999084472656,45.43840026855469,77107700,115.16999816894531,115.2300033569336,112.41000366210938,112.7300033569336,92.94078826904297,275090600
2011-08-23,50.54999923706055,52.279998779296875,50.34000015258789,52.279998779296875,47.31168746948242,75688400,113.1500015258789,116.56999969482422,112.58000183105469,116.44000244140625,95.99950408935547,331136600
2011-08-24,52.130001068115234,52.790000915527344,51.709999084472656,52.689998626708984,47.6827278137207,80197700,116.19000244140625,118.23999786376953,115.91999816894531,118.08000183105469,97.35159301757812,246869700
2011-08-25,52.65999984741211,52.900001525878906,51.650001525878906,51.83000183105469,46.90446090698242,93623700,118.7300033569336,119.4000015258789,115.87000274658203,116.27999877929688,95.8675537109375,312365400
2011-08-26,51.65999984741211,53.310001373291016,51.150001525878906,53.130001068115234,48.08090591430664,91573300,115.69000244140625,118.51000213623047,113.8499984741211,117.97000122070312,97.26093292236328,314495900
2011-08-29,53.65999984741211,54.66999816894531,53.63999938964844,54.61000061035156,49.420249938964844,45985800,119.55999755859375,121.43000030517578,118.05999755859375,121.36000061035156,100.05581665039062,190977200
2011-08-30,54.40999984741211,55.29999923706055,54.11000061035156,54.970001220703125,49.746055603027344,61617900,120.83000183105469,122.43000030517578,119.26000213623047,121.68000030517578,100.31964874267578,241315700
2011-08-31,55.29999923706055,55.7400016784668,54.599998474121094,55.060001373291016,49.82749557495117,60900400,122.45999908447266,123.51000213623047,121.30000305175781,122.22000122070312,100.76482391357422,301828400
2011-09-01,55.20000076293945,55.63999938964844,54.459999084472656,54.560001373291016,49.3750114440918,57158400,122.29000091552734,123.4000015258789,120.77999877929688,120.94000244140625,99.7095718383789,254585900
2011-09-02,53.58000183105469,54.61000061035156,52.9900016784668,53.279998779296875,48.216651916503906,58185700,118.41999816894531,120.87000274658203,117.43000030517578,117.8499984741211,97.1619644165039,255517200
2011-09-06,52.040000915527344,53.369998931884766,51.90999984741211,53.290000915527344,48.22570037841797,52992200,114.38999938964844,117.16000366210938,114.37999725341797,116.98999786376953,96.45292663574219,285130500
2011-09-07,54.04999923706055,54.650001525878906,53.900001525878906,54.63999938964844,49.44741439819336,48952200,118.76000213623047,120.33999633789062,118.36000061035156,120.29000091552734,99.17365264892578,209803200
2011-09-08,54.36000061035156,55.16999816894531,54.209999084472656,54.38999938964844,49.221160888671875,61422800,119.56999969482422,120.94000244140625,118.7699966430664,119.04000091552734,98.14310455322266,250568200
