,AGG,AGG,AGG,AGG,AGG,AGG,SPY,SPY,SPY,SPY,SPY,SPY
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2011-06-30,106.87000274658203,106.91000366210938,106.4000015258789,106.66999816894531,82.94966888427734,1295600,131.13999938964844,132.17999267578125,130.7100067138672,131.97000122070312,108.80326080322266,223322700
2011-07-01,106.5,106.54000091552734,106.2699966430664,106.4000015258789,82.97618865966797,1970000,132.08999633789062,134.10000610351562,131.77999877929688,133.9199981689453,110.41094970703125,202385700
2011-07-05,106.56999969482422,106.81999969482422,106.56999969482422,106.80999755859375,83.29590606689453,799200,133.77999877929688,134.0800018310547,133.38999938964844,133.80999755859375,110.32029724121094,165936000
2011-07-06,106.79000091552734,106.93000030517578,106.76000213623047,106.87000274658203,83.34268951416016,774600,133.49000549316406,134.13999938964844,133.11000061035156,133.97000122070312,110.45217895507812,143331600
2011-07-07,106.62999725341797,106.66999816894531,106.44999694824219,106.56999969482422,83.10874938964844,1291600,135.16000366210938,135.6999969482422,134.8800048828125,135.36000061035156,111.59818267822266,170464200
2011-07-08,106.9800033569336,107.19999694824219,106.93000030517578,107.12000274658203,83.53766632080078,682800,133.8300018310547,135.36000061035156,133.38999938964844,134.39999389648438,110.80667114257812,194100500
2011-07-11,107.33999633789062,107.54000091552734,107.25,107.41000366210938,83.76382446289062,615000,132.75,133.17999267578125,131.66000366210938,131.97000122070312,108.80326080322266,195918600
2011-07-12,107.51000213623047,107.61000061035156,107.33000183105469,107.5,83.83399963378906,681500,131.69000244140625,132.77999877929688,131.36000061035156,131.39999389648438,108.33334350585938,214675700
2011-07-13,107.43000030517578,107.72000122070312,107.4000015258789,107.70999908447266,83.99774932861328,508400,132.08999633789062,133.22000122070312,131.52000427246094,131.83999633789062,108.69608306884766,204062600
2011-07-14,107.56999969482422,107.70999908447266,107.41999816894531,107.44000244140625,83.78719329833984,1724900,132.1699981689453,132.77999877929688,130.67999267578125,130.92999267578125,107.94585418701172,226111800
2011-07-15,107.38999938964844,107.69000244140625,107.31999969482422,107.58999633789062,83.9041748046875,638300,131.66000366210938,131.8699951171875,130.77000427246094,131.69000244140625,108.57244110107422,220012800
2011-07-18,107.56999969482422,107.6500015258789,107.37999725341797,107.43000030517578,83.77942657470703,641600,131.0800018310547,131.27999877929688,129.6300048828125,130.61000061035156,107.6820297241211,196872100
2011-07-19,107.37000274658203,107.66000366210938,107.33000183105469,107.66000366210938,83.95875549316406,780100,131.33999633789062,132.88999938964844,131.30999755859375,132.72999572753906,109.42986297607422,166554900
2011-07-20,107.55000305175781,107.80000305175781,107.47000122070312,107.48999786376953,83.826171875,627300,133.07000732421875,133.14999389648438,132.4199981689453,132.64999389648438,109.36392211914062,137145400
2011-07-21,107.36000061035156,107.47000122070312,107.16999816894531,107.31999969482422,83.6936264038086,839200,133.39999389648438,134.82000732421875,132.6699981689453,134.49000549316406,110.88089752197266,245246300
2011-07-22,107.41000366210938,107.56999969482422,107.38999938964844,107.55000305175781,83.87297058105469,458000,134.52000427246094,134.72000122070312,133.75999450683594,134.5800018310547,110.95510864257812,126019400
2011-07-25,107.29000091552734,107.55999755859375,107.20999908447266,107.23999786376953,83.63121032714844,1154600,133.3000030517578,134.49000549316406,133.16000366210938,133.8300018310547,110.3367691040039,136653800
2011-07-26,107.3499984741211,107.58999633789062,107.30999755859375,107.48999786376953,83.826171875,832200,133.74000549316406,133.9600067138672,133.02999877929688,133.3300018310547,109.92452239990234,131278200
2011-07-27,107.33999633789062,107.51000213623047,107.25,107.30999755859375,83.68584442138672,662700,132.58999633789062,132.6300048828125,130.42999267578125,130.60000610351562,107.67377471923828,249020100
2011-07-28,107.51000213623047,107.62999725341797,107.41000366210938,107.5199966430664,83.84961700439453,823600,130.60000610351562,131.77000427246094,130.00999450683594,130.22000122070312,107.3604736328125,207939900
2011-07-29,107.80000305175781,108.19999694824219,107.69999694824219,108.16000366210938,84.34868621826172,1400700,128.91000366210938,130.5500030517578,127.97000122070312,129.3300018310547,106.62671661376953,307038400
2011-08-01,107.83999633789062,108.2300033569336,107.81999969482422,108.12000274658203,84.55200958251953,1300600,130.83999633789062,130.9600067138672,127.52999877929688,128.77999877929688,106.17326354980469,325790900
2011-08-02,108.29000091552734,108.66999816894531,108.13999938964844,108.58000183105469,84.91175079345703,1010600,127.80999755859375,128.5,125.48999786376953,125.48999786376953,103.46080017089844,346653800
2011-08-03,108.69000244140625,108.94999694824219,108.61000061035156,108.69000244140625,84.99778747558594,1237500,125.66000366210938,126.30999755859375,123.52999877929688,126.16999816894531,104.02143859863281,370830800
2011-08-04,108.80000305175781,109.37000274658203,108.76000213623047,109.2699966430664,85.45135498046875,1585700,124.41999816894531,124.62000274658203,120.05999755859375,120.26000213623047,99.1489028930664,520721800
2011-08-05,108.97000122070312,109.26000213623047,108.41999816894531,108.55000305175781,84.88829803466797,2184400,121.76000213623047,122.06999969482422,116.86000061035156,120.08000183105469,99.00051879882812,655619200
2011-08-08,108.68000030517578,108.80000305175781,108.51000213623047,108.5999984741211,84.9273681640625,2068500,116.91000366210938,120.12000274658203,112.0199966430664,112.26000213623047,92.55323791503906,702263900
2011-08-09,108.5999984741211,109.97000122070312,108.44999694824219,109.23999786376953,85.42787170410156,1642600,114.06999969482422,117.63999938964844,110.2699966430664,117.4800033569336,96.85693359375,717828700
2011-08-10,109.75,110.16999816894531,109.63999938964844,110.12999725341797,86.12388610839844,1102400,115.26000213623047,116.27999877929688,111.94999694824219,112.29000091552734,92.57801055908203,662607400
2011-08-11,109.94000244140625,109.94000244140625,108.7300033569336,108.76000213623047,85.05253601074219,2596300,113.26000213623047,118.91999816894531,112.31999969482422,117.33000183105469,96.73323822021484,487979700
2011-08-12,109.16000366210938,109.55999755859375,108.93000030517578,109.23999786376953,85.42787170410156,2472300,118.4000015258789,119.20999908447266,117.27999877929688,118.12000274658203,97.38459777832031,313731600
2011-08-15,109.52999877929688,109.56999969482422,109.25,109.41000366210938,85.56082916259766,1034200,119.19000244140625,120.73999786376953,119.0,120.62000274658203,99.44569396972656,258810600
2011-08-16,109.29000091552734,109.76000213623047,109.29000091552734,109.63999938964844,85.7406997680664,900100,119.47000122070312,120.69000244140625,118.30999755859375,119.58999633789062,98.59652709960938,294095200
2011-08-17,109.7300033569336,109.97000122070312,109.5,109.81999969482422,85.8814468383789,1119500,120.25,121.19999694824219,118.72000122070312,119.66999816894531,98.66249084472656,238201100
2011-08-18,110.23999786376953,110.5,109.9000015258789,109.9800033569336,86.00660705566406,954300,116.5,119.70999908447266,113.38999938964844,114.51000213623047,94.40831756591797,512956300
2011-08-19,109.9800033569336,110.05999755859375,109.80999755859375,110.02999877929688,86.0456771850586,1271800,112.95999908447266,115.87999725341797,112.5,112.63999938964844,92.86656188964844,428281300
2011-08-22,109.81999969482422,109.9800033569336,109.72000122070312,109.88999938964844,85.93621826171875,761800,115.16999816894531,115.2300033569336,112.41000366210938,112.7300033569336,92.94078826904297,275090600
2011-08-23,109.72000122070312,109.72000122070312,109.5,109.62999725341797,85.73289489746094,757100,113.1500015258789,116.56999969482422,112.58000183105469,116.44000244140625,95.99950408935547,331136600
2011-08-24,109.5,109.51000213623047,108.93000030517578,109.01000213623047,85.2480239868164,663300,116.19000244140625,118.23999786376953,115.91999816894531,118.08000183105469,97.35159301757812,246869700
2011-08-25,109.13999938964844,109.33000183105469,109.02999877929688,109.2300033569336,85.42007446289062,647100,118.7300033569336,119.4000015258789,115.87000274658203,116.27999877929688,95.8675537109375,312365400
2011-08-26,109.5199966430664,109.58000183105469,109.19000244140625,109.37999725341797,85.53736114501953,674700,115.69000244140625,118.51000213623047,113.8499984741211,117.97000122070312,97.26093292236328,314495900
2011-08-29,109.16000366210938,109.2699966430664,109.08000183105469,109.26000213623047,85.44349670410156,1150700,119.55999755859375,121.43000030517578,118.05999755859375,121.36000061035156,100.05581665039062,190977200
2011-08-30,109.55000305175781,109.7699966430664,109.41999816894531,109.5999984741211,85.70940399169922,1108200,120.83000183105469,122.43000030517578,119.26000213623047,121.68000030517578,100.31964874267578,241315700
2011-08-31,109.77999877929688,109.87999725341797,109.48999786376953,109.5,85.6312484741211,2444400,122.45999908447266,123.51000213623047,121.30000305175781,122.22000122070312,100.76482391357422,301828400
2011-09-01,109.47000122070312,109.69000244140625,109.16000366210938,109.62000274658203,85.90706634521484,1541600,122.29000091552734,123.4000015258789,120.77999877929688,120.94000244140625,99.7095718383789,254585900
2011-09-02,109.97000122070312,110.16000366210938,109.80000305175781,109.94999694824219,86.16565704345703,923900,118.41999816894531,120.87000274658203,117.43000030517578,117.8499984741211,97.1619644165039,255517200
2011-09-06,110.41000366210938,110.41000366210938,110.19000244140625,110.23999786376953,86.39290618896484,1104100,114.38999938964844,117.16000366210938,114.37999725341797,116.98999786376953,96.45292663574219,285130500
2011-09-07,110.05999755859375,110.12000274658203,109.8499984741211,109.9800033569336,86.18921661376953,919500,118.76000213623047,120.33999633789062,118.36000061035156,120.29000091552734,99.17365264892578,209803200
2011-09-08,110.16000366210938,110.16999816894531,109.86000061035156,110.01000213623047,86.2126693725586,1169400,119.56999969482422,120.94000244140625,118.7699966430664,119.04000091552734,98.14310455322266,250568200
2011-09-09,110.05999755859375,110.2699966430664,109.9800033569336,110.16000366210938,86.33026123046875,809700,117.68000030517578,119.05999755859375,115.27999877929688,115.91999816894531,95.5707778930664,380195100
